cfuente,fuente
11,INGRESOS CORRIENTES
12,DISMINUCION DE CAJA Y BANCOS DE RECURSOS DEL TESORO
17,INGRESOS DERIVADOS DE LA EXTINCIÓN DE DOMINIO
18,DISMINUCIÓN DE CAJA Y BANCOS DE INGRESOS DERIVADOS POR EXTINCIÓN DE DOMINIO
21,INGRESOS TRIBUTARIOS IVA PAZ
22,INGRESOS ORDINARIOS DE APORTE CONSTITUCIONAL
29,OTROS RECURSOS DEL TESORO CON AFECTACION ESPECIFICA
31,INGRESOS PROPIOS
32,DISMINUCION  DE CAJA Y BANCOS DE INGRESOS PROPIOS
41,COLOCACIONES INTERNAS
43,DISMINUCION DE CAJA Y BANCOS DE COLOCACIONES INTERNAS
52,PRESTAMOS EXTERNOS
61,DONACIONES EXTERNAS
71,DONACIONES INTERNAS
